DB00480,hsa-let-7
DB00783,hsa-let-7a
DB00773,hsa-let-7a
DB03843,hsa-let-7a
DB00467,hsa-let-7a
DB00331,hsa-let-7a
DB00544,hsa-let-7a
DB01169,hsa-let-7a
DB00169,hsa-let-7a
DB01611,hsa-let-7a
DB00635,hsa-let-7a
DB00441,hsa-let-7a-1
DB00755,hsa-let-7a-3
DB00441,hsa-let-7b
DB00467,hsa-let-7b
DB00783,hsa-let-7b
DB00773,hsa-let-7b
DB00526,hsa-let-7b
DB03843,hsa-let-7b
DB00331,hsa-let-7b
DB00544,hsa-let-7b
DB02546,hsa-let-7b
DB00441,hsa-let-7c
DB00755,hsa-let-7c
DB00783,hsa-let-7c
DB03843,hsa-let-7c
DB00331,hsa-let-7c
DB00441,hsa-let-7d
DB00755,hsa-let-7d
DB00783,hsa-let-7d
DB00907,hsa-let-7d
DB03843,hsa-let-7d
DB00544,hsa-let-7d
DB01169,hsa-let-7d
DB00169,hsa-let-7d
DB00853,hsa-let-7d
DB00997,hsa-let-7e
DB00783,hsa-let-7e
DB00773,hsa-let-7e
DB03843,hsa-let-7e
DB00544,hsa-let-7e
DB01128,hsa-let-7e
DB04224,hsa-let-7f
DB00783,hsa-let-7f
DB03843,hsa-let-7f
DB00544,hsa-let-7f
DB01169,hsa-let-7f
DB01262,hsa-let-7f
DB01006,hsa-let-7f
DB00169,hsa-let-7f
DB00441,hsa-let-7f-2
DB00783,hsa-let-7g
DB00773,hsa-let-7g
DB03843,hsa-let-7g
DB00544,hsa-let-7g
DB01169,hsa-let-7g
DB01262,hsa-let-7g
DB00467,hsa-let-7i
DB00783,hsa-let-7i
DB00773,hsa-let-7i
DB00526,hsa-let-7i
DB03843,hsa-let-7i
DB01262,hsa-let-7i
DB03796,hsa-mir-1
DB00783,hsa-mir-1
DB01169,hsa-mir-1
DB00544,hsa-mir-1
DB01128,hsa-mir-1
DB01268,hsa-mir-10
DB00441,hsa-mir-10
DB00773,hsa-mir-100
DB03843,hsa-mir-100
DB01169,hsa-mir-100
DB01248,hsa-mir-100
DB01128,hsa-mir-100
DB00014,hsa-mir-100
DB03843,hsa-mir-101
DB00467,hsa-mir-101
DB00331,hsa-mir-101
DB00396,hsa-mir-101
DB08624,hsa-mir-101-1
DB00295,hsa-mir-103
DB01262,hsa-mir-103
DB00783,hsa-mir-103
DB03843,hsa-mir-103
DB00544,hsa-mir-103a
DB00515,hsa-mir-106
DB00515,hsa-mir-106a
DB02546,hsa-mir-106a
DB00255,hsa-mir-106a
DB00544,hsa-mir-106a
DB03843,hsa-mir-106a
DB01128,hsa-mir-106a
DB03796,hsa-mir-106b
DB00255,hsa-mir-106b
DB00544,hsa-mir-106b
DB03843,hsa-mir-106b
DB01262,hsa-mir-106b
DB00169,hsa-mir-106b
DB00295,hsa-mir-107
DB00755,hsa-mir-107
DB01262,hsa-mir-107
DB00783,hsa-mir-107
DB03843,hsa-mir-107
DB00544,hsa-mir-10a
DB00526,hsa-mir-10a
DB03843,hsa-mir-10a
DB00755,hsa-mir-10a
DB01169,hsa-mir-10a
DB00783,hsa-mir-10b
DB03843,hsa-mir-10b
DB01169,hsa-mir-10b
DB00544,hsa-mir-10b
DB00014,hsa-mir-10b
DB00126,hsa-mir-1181
DB00136,hsa-mir-1181
DB00624,hsa-mir-1181
DB00441,hsa-mir-1-2
DB01169,hsa-mir-122
DB00188,hsa-mir-122
DB00997,hsa-mir-122
DB00467,hsa-mir-122
DB00126,hsa-mir-1225
DB02901,hsa-mir-1225
DB00544,hsa-mir-1226
DB00322,hsa-mir-1226
DB00762,hsa-mir-1226
DB01030,hsa-mir-1226
DB01076,hsa-mir-1227
DB02546,hsa-mir-1227
DB00126,hsa-mir-1228
DB00396,hsa-mir-1229
DB00544,hsa-mir-1229
DB00014,hsa-mir-1229
DB02546,hsa-mir-124
DB00907,hsa-mir-124
DB01169,hsa-mir-124
DB00126,hsa-mir-1246
DB00544,hsa-mir-1246
DB00467,hsa-mir-124a
